cleaned_text,label
"gini pak coach, kalo udah ngomongin pemain timnas, gak ada istilahnya pemain naturalisasi atau pemain lokal. statusnya sama kok, pemain timnas indonesia. siapapun pemain timnas indonesia, kalo main jelek ya dibilang jelek. kalo main bagus ya dipuji main bagus.",0
"timnas akan segera dibentuk. terdiri pemain nasional akamsi yg berada di berbagai u. merekalah yg akan dicoach allout. pemain eredivisie naturalisasi sdh pulang semua ke negaranya masing2.akamsi: marselino,rizky r,ricky kambuaya,beckham putra, egy mv,witan,nadeo",1
"sekarang mah bakal lebih yakin dan percaya klu timnas rata2 di isi sama naturalisasi, wong lokal2 nya aja pada begini sikap dasar nya, ngerakeun pisan maneh erwin",2
ayo satukan mereka di timnas indonesia. siap naturalisasi,1
"saya lebih suka pakai term pemacu utk pemain2 naturalisasi keturunan di timnas indonesia. naturasilasi blm tentu bisa dilakukan terus menerus, banyak hal yg jadi alasan. pemain naturalisasi digunakan sbg pemacu pemain2 lokal utk menaikkan standarnya.",2
ronaldo siap di naturalisasi timnas indonesia hiburan dulu...,1
"pemain timnas indonesia harus bisa tunjukkan taringnya, baik naturalisasi maupun lokal! beritabola timnasindonesia",1
unpopular opinion: pergantian pelatih timnas indonesia dari sty ke pelatih staff asal belanda merupakan tekanan dari knvb ataupun pemerintah belanda sebagai politik balas budi dari pssi ke knvb/pemerintah belanda karena telah banyak membantu dalam proses naturalisasi ...,1
timnas indonesia bisa jadi juara kalau semua pemainnya naturalisasi.,2
"masih bnyak ya yg slalu berfikir naturalisasi itu utk timnas... padahal itu udh hak wna yg sudah memenuhi syarat utk berganti kewarganegaraan, bukan hnya tntang sepakbola.",0
"sangat mendukung program naturalisasi utk tim sepak bola indonesia yg lebih baik, kualitas passing pemain lokal msh jauh dr harapn sty, bgt jg dgn pola makan serta passing masih diajari, pemin liga 1 msh ada yg krupuk, pantas bapuk pph 21 towel mahfud md timnasday",2
"pundit asal amerika sampe bilang :  damn, hampir seluruh starting eleven u23 timnas indonesia itu ada piala asia senior kemarin   asian la masia bro  sampe mereka kira marselino juga naturalisasi dengerin tuh towel timnasday mnc group uzbek",1
"bagi fans yg anti pemain naturalisasi, noh lihat kelemahan kesalahan mental yg bikin timnasu20 kebobolan lagi! timnas timnasday timnasindonesia",0
"secara hukum, nol cuma berhak jadi warga negara hindia belanda yg kemudian jadi indonesia. lagian dia enggak pernah bela timnas manapun sebelumnya selain hindia. apa karena dia belanda totok, maka begitu bela timnas indonesia disebut naturalisasi?",0
"sah mah emang sah, yg dibahas ini kan tujuan naturalisasi nya. jadi bukan untuk memperkuat timnas, tapi biar club gak perlu pake jatah pemain asing untuk pemain yg punya kualitas pemain asing",0
"permainan u-16 sangat bagus.tentu cita2 mereka kelak mnjd tim di level lbh tinggi,mnjd tim senior.bisakah?belum tentu.program kini gencar berburu pemain naturalisasi utk membentuk timnas,dgn target juara di berbagai event.pilihannya: naturalisasi.",2
"segera benahi grassroot, tingkatkan kualitas liga lokal setelah itu jika kualitas pemain lokal sudah naik atau bahkan sudah bagus, program naturalisasi juga jangan dihentikan atau lebih ketat aja pemilihan pemainnya. kalo udah gitu timnas indonesia gaperlu lagi pelatih spesial",2
kalo di perhatikan dan di tampung baik federasi. emang kans sepakbola putri melaju ke pentas dunia itu bukan tdk mungkin ketimbang timnas putra. ga perlu naturalisasi pemain timnas putri pake pemain lokal aja kalo di tampung baik dgn federasi pasti bakal berhasil,2
gak sengaja lihat rencana naturalisasi pemain2 keturunan buat maen di timnas bola. akusih tim ga peduli ya klopun misal starting eleven pemain naturalisasi smua wkwk. trus pasti ada yg nyinyir lah beda kualitas lah sama pemain lokal gabisa disamain. laahh?? aneh wkwk,0
"kalau timnas di isi pemain keturunan dan naturalisasi, ada berapa ratus juta anak yang ingin berjuang masuk timnas tpi kalah sama jalur naturalisasi dan keturunan",0
timnas dan naturalisasi adalah akademi mbali united,1
"kalau maksudmu pemain pribumi, bukan naturalisasi, maka ramadhan sananta sepertinya pilihan terbaik buat striker timnas indonesia di 2025. dia satu-satunya penyerang asli indonesia di skuad terbaru, dengan 5 gol dari 14 caps. pemain lain seperti rafael struick, ole romeny, dan ragnar oratmangoen memang bagus, tapi mereka naturalisasi dari belanda. jadi, buat yang fokus ke talenta lokal, sananta jadi andalan utama saat ini.",2
"klo pebola mungkin kasusnya krn blom prnh dipanggil timnas senior negara lamanya. sesuai aturan fifa, mrk bs perkuat timnas senior negara lain lewat proses naturalisasi koh moen.",1
paling bener timnas mah kudu naturalisasi,2
baru tau gue bahwa timnas puteri juga proses naturalisasi. dan keren-keren pula.,2
"belain sesama naturalisasi nigeria yg gak ada kontribusinya sama timnas, ayo geng brazil mana suaranya?",0
"timnas u23 korea juga zero senior players kok. cuma kebanyakan udah banyak menit bermain aja di liga intinya erick thohir gblk. naturalisasi aja terus, grassroot gak dipikirin.",2
"tapi kalau dilihat dari sisi pure bola tanpa doi timnas gaakan sejauh ini, liga bakalan stuck kayak 2019, gaada pemain naturalisasi grade kayak diks,zay dll dan grade hubner aja bakalan 50/50 dan yang terpenting, sepakbola indo bakalan di ban dari fifa karena kanjuruhan kemaren.",0
"jujur sejak 2010 ak ikuti liat perkembangan timnas indonesia semakin tahun semakin peningkatan kok, gongnya itu di era sty, rasa permainan di lapangan sdah cukup bagus berkembang. saran aja buat cari lagi naturalisasi untuk bagian depan, untuk yg tdi udh bgus.",2
"aff 2016, zulham kena hate, yang defend bobotoh 2024, ferrari kena hate, yang defend the jak akhirnya emang yang peduli cuma supporter rootsnya karena udah tau susahnya survive di liga. itu timnas kalo proyek naturalisasi et mandek, yang berisik balik lagi nonton badminton.",0
"kenyataannya bener, belanda malah jadi talent-pool instan untuk timnas indonesia. awalnya udah bener naturalisasi beberapa posisi doang biar dipadukan dan transfer ilmu dan koneksi, tapi liganya aja gak beres, apa yang mau diserap? syukur aja rr menyerap dengan betul.",0
"nah, pengen tau juga, siapa pemain naturalisasi qatar generasi skrang yg di panggil ke timnas....",1
"proses naturalisasi memakan waktu lama,tahu2 gagal dan digagalkan,mereka mau dinaturalisasi ingin memperkuat timnas u20 indonesia di pildun u20.",1
"lgsg naturalisasi pemain liga arab yg udah pensiun dari timnas, jaminan bukan tim penggembira",1
"naturalisasi untuk kepentingan timnas naturalisasi untuk kepentingan klub circle family, klub exco, (digilir)",1
"striker timnas indonesia kurang tajam, besok naturalisasi aja mbappe dan halland sekalian bangun rumah untuk mereka berdua di cibinong.",1
timnas isinya pemain naturalisasi semua hahaha,0
"minimal separuh pemain timnas kaya elkan, adem keknya timeline. akhir² ini ngeliat anak² timnas mayoritas aktif dan muncul terus di sosmed pandanganku jadi beda ke mereka tidak sesuai ekspektasi pas awal² ramai naturalisasi.",0
"transfer pemain timnas lagi aja, full squad inti cadangan kalo bisa naturalisasi. udah 80%, nanggung ga 100% sekalian.",0
"kebalik ya skrg. timnas malay banyak naturalisasi nya. indonesia skrg malah ga ada ayo iso ayo iso. menang menang menang, lokal lebih bringas",0
plisss negara eropa mana aja dah naturalisasi gw jadi warga negara kalau pelatih timnas indo senior dari lokalan,0
nyesel gak ya yg udah join timnas jalur naturalisasi?,0
"jalan pintas ke pentas piala dunia yang bernama 'naturalisasi' itu ternyata gagal ! - bukan anti, hanya kadang liatnya anehnya aj, liat pemain timnas bule, malu ati, mereka tu bukan kita banget..",0
"gak perlu sih menurutku, indonesia ini cuma sering² ikut event internasional, buat timnas junior juga dan juga sering diikutin event inter. kompetsi sekolah dan universitasnya ditingkatin kyk dijepang. kualitas liga juga diperbaiki, naturalisasi itu cuma utk jangka pendek.",0
4 pemain naturalisasi yang siap diperkenalkan di timnas. semoga mereka bisa memberikan kontribusi positif bagi timnas indonesia. 1. jordi amat 2. sandy walsh 3. need hilgers 4. ragnar oratmangoen,1
emg sih bikin sedih liat pemain timnas hampir semua nya naturalisasi… klo kekurangan pemain lokal bibit unggul ya fokus dilatih? atau cari cabor lain yg bisa jd unggulan selain sepak bola kan bisa,0
ga bisa distop aja apa ya naturalisasi beginian? ga bikin timnas berprestasi juga,0
"gapernah bangga2 amat ama bola/timnas indo. gamau cape2 ngelatih, ngebentuk nunggu, jadinya naturalisasi terus. kasian malah, maksa banget menang tanpa lewatin proses.",0
"naturalisasi terbukti berdampak bagus di timnas indonesia. now, mari naturalisasi dpr dan jajaran menteri.",1
"gak gitu juga lah naturalisasi timnas bola itu wajar karena memiliki darah keturunan dan sangat memberikan kemajuan , sedangkan kita mau melakukan versi dokter? itu dokter kewarganegaraan asing yg keturunan or bukan? kenapa gak naikkan fleksibilitas dokter lokal.?",0
masih nggak paham urgensi naturalisasi marc klok buat timnas.,0
"hehhh...dari dulu gw pikir emang lucu sih sepak bola indonesia.. mau bangga dgn prestasi nya, tp kebanyakn star player nya import ato naturalisasi.. udah gtu klo ada pemain bule, aura pemain lokal nyungsep.. bahkn sekelas artis cwek indonesia pun banyk yg nempel ama pemain bule..",2
"pemain asing yg mau di naturalisasi knp pas di club mainnya 'agak' bagus. tp pas udh di naturalisasi dan main di timnas, mainnya b aja. timnas wakanda loh ya bukan timnas sini kok.",0
"this, udah lah, ga capek-capek ngingetin para produk naturalisasi atau keturunan untuk jauh-jauh dari liga indonesia!!! you guys will be okay out there, dan berkembanglah di sana untuk membangun timnas indonesia yang berkualitas tinggi!",2
"mon maap banget nih bang kameramen kalo indonesia raya lagi main, pemain timnas yang naturalisasi jangan disorot kelamaan. masih belom pada hapal lagunya ditambah grogi. kesian.",0
"dua kali kalah timnas dominasi naturalisasi gagal ke piala dunia 2026..jangan saling menyalahkan memang itulah yang mereka bisa btoo.erick .,?",0
"jangan bawa2 asia, nanti berisik lagi karena ga cocok sama pemain timnas yg banyak naturalisasi + target timnas yg pengen mendunia bukan sekelas asia",0
tergantung sudut pandang. apa bisa disebut sebagai naturalisasi seperti halnya indonesia merekrut personil timnas sepak bola?,1
ga capek ya orang2 overproud sama timnas yg digendong pemain naturalisasi,2
"boga pemaen label timnas dan naturalisasi, tapi strategina maen long ball-long ball bae. mending mun anu akuratmah, ieu mah asal ngangkat bola bae",0
"dari dulu juga pemain timnas indonesia sudah begitu…. apa bedanya sty dg pelatih lokal sekalipun kalau merasa kecewa tapi tidak bisa memperbaikinya, bahkan sdh pakai pemain keturunan/naturalisasi segala (kemewahan yg tdk didapat danurwindo dkk dulu)..?",0
"baru ada elkan timnas racikan sty udah keren, gimana kalau ditambah pemain naturalisasi lain ya",2
"sudah lah akui saja, nyatanya memang anjlok kualitas pemain lokal kalian. klo memang gak anjlok ngapain federasi sepak bola kalian ramai2 naturalisasi pemain, yg kualitasnya sama aja kayak pemain lokal. lawan timnas indo aja ketar ketir",0
"setelah menuhin slot timnas, sekarang mulai menjarah slot slot di liga, udahlah slot pemain asing ditambah sekarang slot pemain lokal juga diambil pemain naturalisasi",0
"naturalisasi calon pemain timnas bola makin gencar dilakukan ,bukan tidak mungkin seluruh pemain timnas yg berlaga nantinya 100 % produk instan naturalisasi. emang boleh? untuk membahas ini kami undang pelatih klub sepak bola inggris, coach erik den hag (dlm konfirmasi)",1
"memalukan! lebih baik kalah tapi dgn kekuatan sendiri, daripada menang dgn pemain impor berkedok naturalisasi. faktanya, tetap saja kalah. casing saja timnas indonesia, tapi isinya bule! bagaimana mereka bisa lolos naturalisasi instant begitu, meski tidak memenuhi syarat uu kewarganegaraan? salah satu syarat naturalisasi adalah harus bisa bahasa indonesia dan pernah tinggal di indonesia 5 tahun berturut-turut atau 10 thn tidak berturut-turut. sangat konyol memalukan bangsa sendiri, namanya pemain indonesia, tetapi saat konferensi pers, dan saat mereka diwawancara oleh jurnalis indonesia, di indonesia, mesti dgn bhs inggris. karena mereka tidak bisa bahasa indonesia.",0
pake naturalisasi semua aja timnas kalo pemain lokalnya ga profesional gini,0
"sdhlah sty jgn pikirkan timnas.kisah sty sdh berlalu. biarkan mncari pengganti patrick kluivert, utk latih akamsi.biarkan para naturalisasi eredivisie pulang ke negara asalnya. kita bina akamsi allout. harus bisa, harus bisa dan pasti bisa.",2
"bukan itu poinnya, ceng. naturalisasi mah bebas, hak dia. tp kalo naturalisasi terus ngarep masuk timnas waktu dianya aja jarang main dua-tiga musim. kan mending panggil yg lain. inget, keluarganya kontak pak hasani bilang jairo siap bela timnas. ga pernah main, ngapain?",0
pemain naturalisasi bukan jaminan jadi pilihan utama di timnas indonesia. bahkan ada yang hanya cicipi 2 laga.,1
knp banyak yg sebelah mata ke pemain yg mau ikut naturalisasi padahal mengorbankan privilege status warga negara terdahulunya (negara maju) demi main timnas bbrp tahun dan belum tentu prestasi juga + federasi dan pemerintah yg wkwkwk,0
coba naturalisasi pemain timnas kamboja.,1
"gambaran timnas indonesia klo yg rencananya mau di naturalisasi cepet terealisasi utama : paes sandy, amat, baggot nathan, tom haye, ivar, shayne struick, ragnar, marcelino cadangan ernando/margo ridho, jay idyes, baggot asnawi, kambuaya, hubner, arhan witan, sananta, saddil",1
"walau tidak menampilkan permainan mengesankan di ag tapi saya tetap berterimakasih dan dukung timnas indonesia. mau dilatih indra sjafri atau sty, mau pakai pemain naturalisasi atau lokal pret, bagi saya timnas ya tetep timnas. kalau kalah ya pasti bikin sedih.",2
baru tahu alasan kenapa eksekutor penalti semalam asnawi. ternyata memang diinstruksikan langsung oleh sty agar misal kalau gagal pun asnawi bisa mengemban tanggung jawabnya sebagai kapten timnas. seandainya yg ngambil struick atau mungkin pemain naturalisasi lainnya,2
messi suruh naturalisasi dlu ke timnas baru bisa kek gini,1
fokus naturalisasi jordy amat sandy walsh dan shane pattynama agar timnas garuda jangan jadi bulan2an di piala asia.bravo coach shin tae yong.pelatih hebat yg bisa menemukan strategi jitu utk garuda walaupun pemainnya berasal dari liga indonesia yg kurang bermutu,2
"panelisnya berkelas semua, ngebahas hottest issue in the street (naturalisasi dan timnas), dan yang di meja adalah orang-orang paling expert soal naturalisasi dan timnas, eh host-nya malah boomer yang gangerti apa-apa soa itu, such a waste.",2
"timnas piala asia 2007 tanpa naturalisasi pemain, dlu nonton sampai dredeg wkwk",1
mau nanya dong info a1 nanti timnas indonesia bakalan naturalisasi striker kelas a gak???,1
berharap jadwal kompetisi klub bertanding serentak sabtu minggu tdk hanya 1 musim hapus regulasi pemain asing 3+1 kompetisi segala usia di gulirkan aturan naturalisasi di perketat usia 18- 23 u timnas.. smg berprestasi,1
"agak kurang setuju dengan poin nomor 4. padahal sudah jadi rahasia umum kalau rata-rata market value gaji pemain lokal lebih mahal dibandingkan pemain asing yg belum pernah bermain di liga 1. ini belum termasuk pemain lokal yg ex/aktif di timnas dan naturalisasi, ya.",0
"hentikan sementara naturalisasi! menurutku, sisa pertandingan ini. tidak perlu lagi untuk naturalisasi. karena apa yang sudah kita lihat permainan timnas sudah sangat oke. agar tidak perlu lagi untuk menyesuaikan antar pemain. yang ada ini cukup ditingkatkan aja. gimana guys menurutmu? timnasday",0
"shin tae yong korsel garudamendunia era 70-an timnas garuda indonesia dikenal sangat tangguh, bahkan cukup disegani di asia dan ditakuti di asia tenggara, dikenal sebagai macan asia tanpa pemain naturalisasi. lalu apa kendalanya saat ini jika tanpa naturalisasi ?",0
pemain berlebel timnas can tentu alus di klub. percuma pemain naturalisasi nu timnas tapi kualitas kurang pantes. pilih sesuai kebutuhan dan karakter yang di butuhkan tim dan pelatih. tong loba teuing kalem kaburu meunang pemain sesa supres2maderpakerlah!,0
senoga cepat naturalisasi ke timnas as,1
"untuk urusan naturalisasi pemain saja federasi begitu cepat dan niat mengurus, bahkan sampai mengambil jalan pintas melalui kementerian dan dpr. kok untuk tanda tangan pelatih timnas indonesia yang prosesnya lebih mudah, masih belum dapat ?. lu serius kagak ?.",0
"usulan fifty-fifty bisa jadi strategi bijak untuk keseimbangan tim. namun, prioritas utama tetap pada meritokrasi, di mana talenta terbaik—baik asli maupun naturalisasi yang setia—dipilih demi prestasi maksimal. dukungan penuh 278 juta rakyat akan menguatkan timnas melawan irak, asal semangat kebangsaan menyatu di lapangan.",2
"akan jadi pertaruhan besar buat jordi amat ke jdt, selain buat pribadi, tapi buat timnas indonesia. simpelnya indonesia butuh bek berkualitas, dan jordi ga bisa mempertahankan kualitasnya, ya indonesia sia² naturalisasi dia.",1
stop naturalisasi pemain asing ke timnas indonesia. indonesia tidak kekurangan anak - anak berbakat dalam hal sepakbola.,2
"gua lagi bahas legal standingnya, bukan status ktp atau paspor mereka saat ini. ga semua pemain naturalisasi diperbolehkan fifa untuk membela timnas negara barunya! ga semua pemain naturalisasi yang ga punya darah keturunan negara barunya juga yang dilarang fifa untuk membela timnasnya.",0
"""harusnya sih jangan ya. soalnya proyek sty ini kan jangka panjang; banyak pemain muda di timnas biar pas di golden age jadi alias nyetel dan lagi mau naturalisasi pemain.""",0
target itu perbaiki liga sekelas liga eropa tier 2 timnas itu hsl dr liga ... bkn hsl naturalisasi masih mimpi aja .. jd capres,0
"woyy tiba2 baru liat plss, lu mau jdi tim naturalisasi timnas can ?",1
"pemain timnas naturalisasi sih ok ya, tapi ri1 naturalisasi?",1
beda kebijakan sih. di arab bisa aja langsung digaet. kayak dulu timnas qatar kan isinya beberapa naturalisasi. kalo ga salah jonathan soriano dah pemain qatar dulu hasil naturalisasi,0
"pergantian pelatih dan proses naturalisasi ugal²an ini ditempuh dgn tujuan mendapatkan hasil dg cara2 instan, gwe juga tentunya berhak menuntut hasil instan. gak tau kalo kalian. tim yg kemarin udah layak dijuluki timnas belanda b, bjirrr... dan lu secongor²nya ngomong progres",0
kaum 16% + 2% anak abah adalah kaum septik tank yang benci dengan kemajuan timnas indonesia mereka menolak gelaran piala dunia u20. ingat… rano karno juga anti naturalisasi. jangan di pilih.,0
"""total biaya program timnas era erick thohir mencapai rp800 miliar per tahun untuk seluruh aktivitas, termasuk rp277 miliar dari apbn khusus kualifikasi piala dunia 2026 yang fokus pada persiapan, travel, akomodasi, dan pelatihan. naturalisasi pemain tidak melibatkan pembayaran langsung ke atlet karena sukarela, tapi menambah beban operasional seperti gaji pelatih dan fasilitas. tambah jabatan tak akan ubah hasil; butuh reformasi struktural pssi dan pembinaan usia dini untuk sukses jangka panjang.""",2
"biaya agen naturalisasi, biaya pesawat ke indonesia, biaya htm ngisi list latihan bareng timnas, biaya hotel di indonesia dll bisa direfund ga?",1
tlong naturalisasi grilis biar maen di timnas sini aja bang,1
"kalo pun ada naturalisasi lagi, gue harap mereka ngga cepat cepat pindah ke liga 1. biar main di luar aja terus. yang kita perlukan buat naik level di timnas memang soal pengalaman main di liga yang sekompetitif eropa.",2
"sapri itu pelatih yang cuman cocok buat lawan2 asean. pelatih lokal ditambah pemain lokal, ya ampas. timnas memang butuh naturalisasi.",0
"kaya timnas langganan juara aja. kalo timnasnya berprestasi pakai lokal, terus naturalisasi jeblok, baru dah boleh marah-marah",0
"gw punya 2 bukunya tahun 2006 sprirtualitas sepakbola. gw bakal kasih ke yang kasih komentar terbaik soal kenapa program naturalisasi di timnas bola itu jangan dilanjutkan? . dok, tolong di-rt :) kalau ngga rt, tak culik koen",2
"iyaa naturalisasi, soalnya dia main sbg timnas bukan club aja(?)",0
"di komen2 pemain naturalisasi timnas yang baru2 itu baru ngeliat ‘ilmu padi ’ versi baru, yaitu ‘ilmu abah, tak mau kalah’, which is a read, a shade, and a compliment at the same time?? never thought football bros would be able to come up with those combo",1
tetap dukung apapun kelompok umurnya. menang disanjung kalah tetap didukung. lokal pret dan naturalisasi pret adalah benalu bagi kemajuan timnas indonesia.,2
"pantesan aja buat di level timnas nyari 11 pemain berkualitas dari jumlah penduduk indonesia yg 200 juta lebih orang itu susah, ya mending cari pemain keturunan/naturalisasi yg grade a aja kalo begitu mah mendingan nanti line up skuad nya",0
"tim sepakbola papua mainnya keren. tp orang² lbh memilih naturalisasi orang asing utk dijadikan pemain timnas. negeri yg embuh. ponxxpapua2021 disclaimer : tim sepakbola jabar dibantai 5-1, fyi.",1
"sejak 2010, timnas udah naturalisasi pemain. sejak christian gonzales, irfan bachdim, dll. tp prestasinya ga sampe level asia. udah 14th naturalisasi berjalan. udah banyak pemain dinaturalisasi. tapi baru 3 tahun terakhir prestasi timnas lumayan. terus masih raguin coach nya?",0
"bisa, klo misalnya dia punya dua kewarganegaraan bisa dinaturalisasi yg penting rank timnas indonesia nya udh diatas 100an biar pada mau di naturalisasi soalnya rata2 pemainnya dri eredivisie",1
"gak berharap apa apa sama timnas kali ini karena squad nya juga i know agak krik krik, tapi ya ga sejelek ini ajg malu maluin, mending udah full naturalisasi sama abroad aja gausah pake pemain dari club lokal yang kaya tai timnasday",0
"klau loe protes soal naturalisasi, lalu bertanya anak2 kita gmana?, mk seharusnya loe bina tuh anak2 kita spy kualitasnya setara dgn pemain naturalusasi, shg nanti pssi akn mengambil anak2 kita itu msk timnas indonesia. jgn sampai kejadian lg ada anak2 kita dibantai 0-10.",0
"positif thinking aja mas mungkin niatnya indra sjafri bagus pengen ngambil bakat muda kaya u-19 dulu , tapi itu dulu sekarang kebutuhan timnas kalo gaada naturalisasi gak juara sih",2
"kirain trend naturalisasi di timnas indonesia aja, ternyata di timnas lain pun termasuk dari negara asia tenggara sering juga ternyata. banyak nama baru soalnya di afc asian cup kali ini.",2
jaman timnas belom ada naturalisasi mainnya lebih greget.,2
"harusnya naturalisasi murni. tp naturalisasi murni itu tidak semudah cuma udah 5 tahun trus bisa jadi wni. kalo naturalisasi murni, ga perlu ke dpr, ga perlu dibantu menpora dan pssi. kecuali emang pssi mau mereka di timnas ya harus dibantuin biar cepet.",0
"katro,mental jadul. gausah sok,tim nasional peringkat 1 sampe 10 besarpun banyak pemain keturunan,kita siapa? timnas peringkat 160 aja kok belagu. baca berita bang,pemain naturalisasi yg dulu2 itu pemain mana? ya pemain tim liga indo,klub2 bobrok. jgn samain sama yg skrg",0
"banyaknya pemain naturalisasi di timnas indonesia memang meningkatkan daya saing, terlihat dari kemenangan seperti 2-1 atas kuwait. namun, dunia tampaknya masih memandang indonesia sebagai tim medioker di asia dan global, dengan ranking fifa ~152 dibanding uzbekistan (~75), yang sudah mapan sebagai negara sepakbola baru. uzbekistan konsisten lolos turnamen besar, sementara indonesia belum. jadi, meski ada progres, persepsi global belum berubah signifikan.",2
"sebangga itu loh pemain naturalisasi membela timnas indonesia, kok ya masih aja ada yg ga terima timnas berkembang. towel asu",0
"diplomasi bermuka dua indonesia thd rms pemain timnas sepakbola naturalisasi asal belanda opa omanya dianggap pengkhianat, tp kemudian mencari pembenaran menaturalisasi cucu2nya dgn alasan memiliki darah indonesia norak gak gentle sama sekali",0
timnas indonesia juga kalo gak ada imigran dari maluku ke belanda juga gak sebanyak ini naturalisasi dari belanda,0
"kalo menurut lu kita pengen instant. mungkin ezra, sandy dan naturalisasi lainnya masuk skuad timnas, bro wkwkw",0
"mungkin udh saatnya angkatan naturalisasi awal (jordi, shayne, walsh) mulai difokuskan untuk bantu timnas berprestasi di level asean. untuk level asia-eropa, serahkan ke jay idzes, diks, dkk. biar bagi2 tugas",1
"mohon percepat naturalisasi pemain keturunan indonesia u-20 ivar jenner, justin hubner rafael struick, yang terhormat pak , mereka punya darah indonesia punya hak yang sama untuk membela timnas indonesia, percepatnaturalisasi",1
kalau kayak gini kapan maju nya sepak bola indonesia. kayaknya ngga cuma pemain yang di naturalisasi tapi pengurus pssi juga perlu di naturalisasi harunaout,0
naturalisasi cinderace untuk memperkuat timnas,1
