cleaned_text,createdAt
sabar itu semua bakalan jadi pemain naturalisasi (warga indonesia ) has sepak bola indonesia bagus dikit suru masuk tim-nas,2023-08-23 07:52:10+00:00
"kalo timnas kayak gitu terus, kasian nanti pemain-pemain muda kita.. lah kasian kenapa? nanti jd males latihan karena merasa sia-sia... wkwkwkwk, yaudah bener berarti naturalisasi aja dah kalo gitu mindsetnya, ya ga ???",2024-04-20 02:23:21+00:00
"untuk mendapat tanda tangan shin tae-yong terkait perpanjangan kontrak sebagai pelatih timnas indonesia itu prosesnya lebih mudah dibandingkan naturalisasi pemain keturunan, tapi 1 bulan lebih setelah afc u-23 kok masih belum mendapatkan ?. kok amatiran ? .",2024-06-23 08:18:02+00:00
kenapa setelah timnas indonesia u16 menang dia teriak lokal pride lokal pride seolah menyindir timnas senior yang ada pemain naturalisasi,2022-09-01 10:06:55+00:00
"kemenkes berencana import dokter asing , meniru pssi(timnas) naturalisasi itu mungkin istilah halusnya,. beda tipis maknanya dengan import.. == ini salah satu jalan ninja menuju indonesia emas militannkri gantari",2024-05-21 08:44:29+00:00
"iya, ini bek naturalisasi baru timnas indonesia. pernah ketemu mane.",2022-04-11 07:35:31+00:00
"ini sebenarnya ledekan baru barusan ngobrol ama org pabrik, klo ketemu selalu antusias ngomongin timnas terutama pemain2 naturalisasi. tp saat ngobrol thom haye maen di persib dia gak percaya, ngapain katanya di liga lokal wkwkw. ternyata banyak bener org suka timnas ≠ lokal",2025-11-12 10:49:55+00:00
dongo bgt di naturalisasi kek bisa dipake aja di timnas korsel wkwkwk,2025-05-14 11:33:36+00:00
gapapa timnas banyak naturalisasi asal kualitasnya meningkat. kebanyakan pemain lokal masih kedoktrin taktik longpass grusak grusuk gajelas,2024-01-28 11:58:02+00:00
"ga cerita jg soal safari ke kota kota ketemu suporter lokal buat cerita klo tiket pnssi itu perjuangan saya, sty ga mau dikritik sama saya, timnas ga harmonis, saya yg perjuangin naturalisasi, saya yg kawal langsung keluar negeri. intinya saat itu sty jelek bagus?",2025-11-19 07:13:29+00:00
gak ada yang instant di dunia ini bro. naturalisasi adalah kebodohan dalam prestasi sepak bola indonesia. fans timnasday saat ini kluivertout erickout,2025-10-12 00:25:33+00:00
"coba dibalik, pemain keturunan/naturalisasi yg main di liga indonesia brp persen yg jadi langganan timnas? dan kira2 knp?",2023-08-05 05:51:50+00:00
"intuisi anda tentang keseimbangan pemain naturalisasi dan lokal memang relevan, karena timnas butuh talenta terbaik tanpa mengorbankan semangat nasional. pssi sebaiknya evaluasi strategi 50-50 seperti saran anda untuk hasil optimal jangka panjang. fokus pada pengembangan pemain wni muda agar tak bergantung sepenuhnya pada impor bakat.",2025-10-16 14:22:50+00:00
"sekarang atlet naturalisasi timnas, masih rendah banget apresiasi buat creator ya",2022-10-02 09:50:44+00:00
kante harus jadi naturalisasi timnas indo,2021-05-29 20:59:42+00:00
"slamat pa erik, tolong pa erik bikin road map buat 10th kedepan, bukan sekedar timnas bagus naturalisasi ini itu.. engga ada yg instant boss! pembinaan usia dini,kompetisi berjengjang.. kompetisi yg baik akan menghasilkan timnas yg baik",2023-02-17 00:07:20+00:00
"lah justru federasi yg nolak hubner, rumornya dia minta 1jt euro plus kebijakan istimewa lainnya selama jadi naturalisasi. yah jelas gak tau dirilah belum ngasih apa ke tanah air udah minta di istimewakan, apa gak malu ke pemain lain yg udah tumpah darah, keringat demi timnas.",2023-04-18 02:36:36+00:00
liga tanpa pemain asing tanpa pelatih asing timnas tanpa keturunan naturalisasi timnas tanpa pelatih asung salam lokal preet..,2022-08-16 10:37:27+00:00
"indonesia cetak sejarah indonesia gak jadi pulang, australia siap dihadang buat haters sty, si paling local pride anti naturalisasi: sorry yee! hilirisasi timnas satset tastes yang bikin indonesia buktikan diri ada di level asia. amiiiin ajaa duluu gimana menurut lo?",2024-01-26 12:33:22+00:00
"dear sty, gaji doang gede 4 tahun nol gelar minim prestasi, udah dikasih banyak pemain naturalisasi tapi tetep ga ada hasil. mending indra sjafri pake pemain lokal gaji juga gak semahal sty tapi bisa bawa timnas tsunami trophy.",2023-06-19 13:29:24+00:00
"eh...towel, yg membelah2 jadi local pride dan pro naturalisasi cuma eluh ajah sendirian, gw yakin yang lain support 100% sty dan timnas garuda! simpel ajah...love it or leave it! support timnas atau cabut dari indonesia! gak butuh orang kayak eluh!",2024-04-25 05:13:46+00:00
"timnas indonesia bisa maju dengan cara naturalisasi semua pelatih, pemain dan suporter.",2023-09-28 11:21:06+00:00
tenang masih ada duo naturalisasi indra dos santos dan sumardji rodriguez yg siap menggendong timnas indonesia diberbagai event *emot api-emot api*,2023-08-19 14:45:08+00:00
"eh, aku tiba² kepikiran. pemain naturalisasi timnas bola apa gak culture shock ta? biasanya birokrasi mudah di negara mereka dulu, malah sekarang ribet. atau mereka ada pengkhususan kah?",2024-03-23 01:08:31+00:00
"jelas ga pernah nonton timnas rugby indonesia si mbah. jauh sebelum timnas sepakbola, timnas rugby sudah diisi pemain2 bule. bahkan tanpa harus naturalisasi. yg skrg malah lebih mementingkan pembinaan. krn syarat bela timnas di rugby itu ga perlu paspor (kecuali buat olympic)",2025-04-06 02:49:48+00:00
"terus masalahnya apa!? kan bisa diproses dari jauh, sandy walsh aja udah nungguin, sekarang masalahnya cuma ada di ! kalo naturalisasi pemain asing yang ada di indonesia, timnas bakalan kayak panti jompo.",2021-07-04 14:22:40+00:00
"wkwkw gabisa bang di naturalisasi, mereka semua udah punya caps timnas senior",2023-08-29 04:18:05+00:00
"asal scouting dgn benar, di umur yg tepat dan sesuai kebutuhan pelatih, naturalisasi itu bisa jadi alat pelengkap timnas menjadi timnas yg lebih baik lagi",2022-07-02 00:54:11+00:00
tak selamanya pemain naturalisasi memberi dampak positif untuk timnas indonesia. lima pemain ini buktinya.,2022-02-17 06:30:00+00:00
ivankovic adalah kandidat terbaik. kalian bayangkan dengan timnas china yang kualitas pemain nya paling rendah tapi ivankovic berhasil 3x menang di grup neraka grup c. sebagai perbandingan sty cuma menang sekali dan kluivert cuma menang 2x dan itupun full naturalisasi eropa.,2025-10-15 07:25:03+00:00
"naturalisasi yang diendorse federasi itu kepentingannya cuma satu, untuk kebutuhan timnas. harus spesial . kalau emang niat mau jadi wni, ikutin aja aturan uu utk mengajukan kewarganegaraan jalur keinginan sendiri bukan jalur kebutuhan negara",2022-07-02 01:11:53+00:00
towel nih makin lama makin ndak masuk akal!!sentimen naturalisasi atau lokalpride ini kesan nya dibuat2 jd hal negatif!! padahal kita indonesia yg waras.. mau naturalisasi! mau lokalpride! yg penting satu bisa bawa timnas indonesia dapat prestasi! udah sampai disitu aja! titik!.,2024-04-25 02:50:24+00:00
percaya ga kalo aku bilang dari database game yg namanya football manager? proyek naturalisasi berdasarkan hubungan darah ini udh jadi mimpi basah komunitas gim fm dari dulu kak. mereka rajin tracking pemain keturunan indonesia yg ada di ln trs dipanggil bela timnas kyk skrg.,2025-06-12 19:33:07+00:00
adanya pemain naturalisasi akan meningkatkan persaingan sehat dalam timnas guebarengerickthohir,2023-04-17 08:29:32+00:00
"paling kalo dari saya mah,pokonya buat coach sty harus percaya sama eliano reijnders karena dia ini pemain serbabisa di klub nya, diharapkan kehadiran di timnas indonesia bisa mempertajam skuad garuda gamungkin pak erick thohir naturalisasi beliau tanpa ada kejelasan.",2024-11-18 11:22:30+00:00
"marwah penyerang lokal bangkit, timnas indonesia bakal garang tanpa bomber naturalisasi",2023-03-15 11:47:33+00:00
"anjir bocor di podcast wkwkwk naturalisasi timnas bola ambil emil audero/kiper sampdoria wkwk padahal dulu sempet viral , tolak mentah2 timnas indo wkwk",2022-03-01 15:00:41+00:00
"sdh saatnya indonesia membuka ruang dialog dgn org2 keturunan maluku di belanda, org2 yg terusir dr indonesia krn tuduhan pro belanda rms apalagi cucu2 mrk, generasi ke 3-4, bnyk yg sdh kembali ke pangkuan ibu pertiwi, jd pemain naturalisasi utk timnas sepakbola indonesia",2025-04-23 09:43:53+00:00
bisa bisa nya pemain no 25 singapore masuk timnas wkwkwkwkw... gda bahan naturalisasi lagi ?,2021-12-22 13:13:03+00:00
"mulai dari jaman luis milla, kebijakan timnas senior berubah. karena fokus kepada pada asian games, sering timnas senior diisi pemain2 u23, sehingga jatah pemain senior berkurang. ini juga membuat pemain naturalisasi yg sudah senior tidak masuk squad.",2022-07-02 00:40:07+00:00
"di statuta fifa ga boleh ada pemain naturalisasi buat kepentingan timnas, boleh nya cman pembinaan pembinaan pembinaan kon....",2021-08-22 05:34:37+00:00
"timnas indonesia diyakini bakal rugi besar jika tak naturalisasi jordi amat, benar gak sih?",2022-06-28 14:30:00+00:00
sepakbola indonesia emg udah gak masuk akal. liga bobrok timnas gagal juara. yang salah tetap naturalisasi,2023-01-25 04:51:33+00:00
"sebelum laga versus arab saudi dan iraq, walaupun 11 pemaintimnas saat ini cedera gak masalah buat erick thohir , stok pemain naturalisasi indonesia itu masih buanyak , bahkan cukup untuk membentuk 5-10 squad timnas",2025-07-20 03:06:13+00:00
"dalam kasus naturalisasi medioker ini, yang paling memorable buat saya tu sean dundee proses lama, pake drama, eh akhirnya ga dipake juga sama timnas",2021-04-03 06:21:53+00:00
"jangan digugurkan. biar bisa membela timnas tanpa naturalisasi, di masa mendatang.",2025-11-09 14:10:08+00:00
"wajar timnas kalah, kebanyakan naturalisasi pemain luar , udh tau fisik asia tenggara tuh ga sekuat fisik eropa dan asia timur tapi kurang kerja keras dalam latihan (informasi dari pelatih timnasnya sendiri ), pola makan ga terlalu keurus dan masih banyak faktor-faktor lainyan.",2021-05-30 00:10:12+00:00
timnas indo: -sty tanpa naturalisasi bisa apa? -kualitas pemain lokal sangat awikwok.,2024-12-21 14:31:19+00:00
"fyi aja naturalisasi yg dijalankan federasi selama ga bisa disebut program. federasi seperti latah, naturalisasi untuk timnas saja dilakukan menjelang turnamen. kecuali naturalisasi untuk kebutuhan klub.",2021-12-02 14:17:55+00:00
"naturalisasi timnas kita lebih tepat disebut diaspora. ini lebih baik daripada naturalisasi waktu lalu. krn yd dulu bukan krn keturunan tapi perkawinan. yg notabene udah tuwir. sedangkan sekarang muda, fresh from the oven",2024-01-29 01:49:48+00:00
kemenangan timnas indonesia u17 kali ini senengnya berlapis-lapis. 1. bikin lolos ke piala dunia u17. 2. menang dg skor besar 4-1. 3. mematahkan ejekan tetangga yg bilang timnas indonesia gak ada apa2nya tanpa naturalisasi. percayalah.. ini baru permulaan. timnasday,2025-04-07 19:32:03+00:00
udah pk erick uruson timnas aja ngurusin tim liga 1 gaada abisnya masalahnya percuma diisi ini itu tapi kalo elemen lainnya gk berubah udahlah sepak bola indo gak akan kemana lebih percaya progres timnas dengan pemain abroard ama naturalisasi,2023-08-04 15:32:19+00:00
"stlh tersingkirnya timnas garuda di qwc 26, harapannya stop naturalisasi pemain keturunan dulu. ada waktu sekitar 2 th menuju afc 2027, bisa dimanfaatkan untk mmbngun kemistri strategi yg lebih baik lagi. kalo iya benar adanya, timnas 2027 akan jd timnas menakutkan di asia.",2025-10-12 08:42:46+00:00
"yo, bro, soal estella raquel loupattij jadi starter di timnas pertiwi, peluangnya lumayan, tapi ga pasti. dia baru join zulte waregem di belgia, main di liga top, plus udah menang aff women's cup 2024, jadi skill-nya oke. naturalisasi dia november 2024 bikin dia spesial buat tim. tapi, saingan di skuad ketat, dan pelatih yang nentuin. kalau dia gaspol di klub sama fit, kansnya gede. cuma, dinamika tim sama opini soal naturalisasi bisa nge-rem. jadi, kira-kira 60-70% dia bisa starter, asal ga ada drama.",2025-05-18 15:18:59+00:00
tak salah timnas indonesia gunakan pemain naturalisasi,2023-02-26 07:18:33+00:00
ga sia sia timnas kipernya naturalisasi dari spanyol,2021-12-25 14:27:08+00:00
"yang anti asing, pemain abroad, atau naturalisasi mending sebaiknya dibuatkan wadah. timnas u-55 cocok.",2022-10-11 05:55:46+00:00
"oh ya, nggak usah jauh. timnas cewenya deh naturalisasi dulu, jngn maksa pemain yg kapasitasnya masih u-17 buat ke senior",2021-12-13 12:38:59+00:00
"is kenapa jadi bahas naturalisasi? yang diminta pecinta timnas rank fifa 170an kan bukan naturalisasi, tolong itu anak anak muda berdarah campuran jangan dipersulit kalo mau bela timnas",2021-08-21 13:45:28+00:00
gada ah di pssi yang bagus juga cuman timnasnya itu juga faktor banyaknya naturalisasi. pssi bukan cuman timnas.,2024-06-12 08:41:24+00:00
timnas tanpa pemaen naturalisasi,2021-06-03 15:55:56+00:00
untuk timnas sepakbola bolehlah naturalisasi ...... untuk pilih presiden kualitas lokal lebih handal!!!!,2023-07-24 10:44:01+00:00
"julian alvarez : pelatih terbaik dunia salah satu klub terbaik dunia jaminan throphy tiap musim jam terbang lumayan. rela pindah ke atm. demi masa depannya dan timnas jg. meanwhile.. pemain timnas kt ga main di klub sangat lama, jaminan di timnas bahkan bs ngalain naturalisasi.",2024-08-07 07:51:14+00:00
setidaknya towel menyaksikan secara langsung permainan timnas kita tanpa pemain naturalisasi,2024-12-12 15:11:03+00:00
dia mah ga punya urat malu. lagi rapat soal naturalisasi pemain timnas aja bisa2nya bahas soal kawin campur adalah solusi untuk masa depan sepak bola indonesia. nyambung tuh,2025-04-25 09:49:47+00:00
"yakin mau bela timnas indonesia? kok minta harga selangin untuk proses naturalisasi... justin hubner meminta syarat uang rp 14,6 miliar buat proses naturalisasi naturalisasihubneralot",2023-04-14 15:34:52+00:00
naturalisasi adalah proses yang dilakukan oleh warga asing agar menjadi warga negara indonesia (wni) sah di mata hukum. . bagaimanan pendapat sobat pr terkait pemain naturalisasi timnas indonesia saat ini? timnasindonesia naturalisasi prmn,2024-06-15 06:58:54+00:00
"timnas belanda aja maennya udah gak pake total football, kok timnas cabang yg isinya naturalisasi masih pengen ngadopsi gameplay total football",2025-03-23 21:12:00+00:00
"eh itu pemain yang mau di naturalisasi njamin timnas dapat prestasi, mari berdiskusi mbang gabut ~",2022-03-08 17:59:41+00:00
"si paling lokal pride, padahal ya kelihatan kok, yg naturalisasi sekarang2 ini bagus dan bahkan masih muda2, dan timnas juga udh bermain lebih baik. ga dipuji berlebihan, ketika main jelek aja banyak kritik",2023-11-15 02:49:33+00:00
"dugaan saya pemain naturalisasi timnas gobak sodor itu ga sepenuhnya tanggalkan kewarganegaraan asalnya, bisa jadi sekarang dia punya 2 paspor",2021-12-15 11:11:20+00:00
wakilin timnas naturalisasi bisa sih bang,2025-06-22 11:05:45+00:00
si paling abroad terlalu fokus sama talenta lokal yg gakmau abroad. tapi mereka lupa banyak naturalisasi yg ujungnya main di liga terbaik dunia akhirat kenapa gak lo hujat aja mereka si naturalisasi itu yg langsung downgrade setelah join timnas dan akhirnya main disini.,2025-11-16 14:15:01+00:00
"iya emang bener kok menang krg meyakinkan, but atleast we won. its always nice to start a tournament with a win, toh banyak jg takeaway positif dr game td. soal naturalisasi, ini 30 pemain terbaik udh dukung aja susah bgt. stop being so negative dgn timnas sendiri lah timnasday",2021-12-09 14:18:24+00:00
"pemain naturalisasi belanda-indonesia ini menunjukkan kelasnya sebagai predator di lini depan. dengan permainan yang simpel tapi efektif, dia tahu betul gimana memanfaatkan peluang.",2025-03-26 05:23:55+00:00
lucu banget reaksi lee gyeong gyu main ke gbk buat nonton shin tae yong + match timnas indo vs arab bisa buat naturalisasi supporter ini cr: 르크크 이경규 / youtube,2024-11-28 12:59:16+00:00
"lagian pembinaan pemain kan harusnya dari klub bukan timnas toh yg diambil sty bukan pemain asing, melainkan punya hubungan darah dengan indonesia. masih banyak yg salah kaprah antara pemain naturalisasi dengan pemain keturunan.",2022-01-16 16:46:05+00:00
"yah kena pecut kita. tpi semoga federasi sadar, sistem, pembinaan, ekosistem, itu bagian dri sepakbola. negara byk pulau tpi asprov kyk gk disuruh kerja. federasi klo modal timnas sama naturalisasi mending gk usah ngurus bola. ngurus gundu aja. biar bisa jitak kepala lu pada.",2025-11-07 16:44:05+00:00
kocak ini kah pemain naturalisasi baru timnas?,2025-06-22 09:06:53+00:00
nah bahas grassroot gini lah pak kita bosan bahas naturalisasi pemain timnas. minimnya jumlah pelatih di grassroot sudah disuarakan oleh coach indra sjafrie sejak melatih timnas era evan dimas. tirto,2025-07-18 09:59:35+00:00
"langkah timnas sekarang pun sebenarnya juga bagus, punya pelatih bagus semacam sty, proyek pemain naturalisasi semacam jordi amat, dan regenerasi pemain macam marselino, rizky ridho, pratama arhan, sudah on the track.",2022-06-25 03:21:08+00:00
pak mau tanya dong...buruknya kualitas liga 1 itu apa termasuk terlalu banyaknya akal2an naturalisasi pemain oleh klub sehingga bisa menambah kuota pemain asing klub? dan bukan mendukung kerangka timnas? shg pemain lokal spt striker jadi minim menit bermain?,2022-01-05 06:21:32+00:00
"et tipikal org suka pakai shortcut. timnas bola ga berpretasi? tinggal rekrut pemain dari belanda. bukannya perbaiki sistem malah cari jalan singkat. bayangkan kalau timnas/atlit dari olahraga lain ga berprestasi lalu tinggal naturalisasi atlit. ibarat main game, pake cheat.",2025-09-17 10:19:51+00:00
"hal yg penting seperti ini, kok lama prosesnya, semoga secepatnya bisa disumpah wni. miliano jonathans gagal masuk timnas indonesia lawan kuwait dan lebanon, perkuat u-23 atau proses naturalisasi tak terkejar? lewat",2025-08-22 00:41:05+00:00
"sistem yang bagus akan jalan kalau eksekusi pemain juga bagus. udah bilang dari vs irak kalau timnas punya masalah eksekusi. (mungkin sty mau ngecilin gap sistem eksekusi dengan naturalisasi. cuma belum cukup. but, semua butuh pemahaman kudu bisa jadi eksekutor, kolektif)",2024-01-24 14:25:45+00:00
"kalo ada pemain timnas indo naturalisasi, dr tiongkok misalnya. dia bawa indo ke piala dunia, tp d sisi lain slalu mengagungkan negara asalnya yaitu tiongkok. rakyat indo marah ga ya? mungkin itu yg d rasain fans bola jerman trhadap ozil. apple to apple g perbandinganny? haha",2021-01-10 07:00:11+00:00
"karna kalo pemain keturunan bisa langsung main di timnas, urus dokumennya gampang klo pemain full naturalisasi harus tunggu 5 tahun baru bisa main kyk marc klok, dan tidak kontroversial di bilang bukan pemain indonesia karna mmg punya darah indonesia",2021-12-24 01:01:21+00:00
"perlu peningkatan build-up dari belakang. 5 opsi pengganti ideal kluivert: 1. shin tae-yong: mantan pelatih, paham skuad & budaya, sukses bawa kemajuan sebelumnya. 2. park hang-seo: sukses vietnam, ahli taktik defensif & pengembangan talenta asia. 3. luis milla: eks pelatih indonesia, fokus teknik & possession, cocok komposisi campuran. 4. herve renard: pengalaman asia (saudi), kuat mental & strategi kontra kuat. 5. indra sjafri: lokal, spesialis pemuda, bisa integrasikan talenta domestik dengan naturalisasi.",2025-10-12 17:12:49+00:00
"saking udah gak yakin dengan kualitas liga 1, banyak pemain level remaja/kelompok umur naturalisasi pun dimasukkin. padahal nanti adalah piala asia untuk timnas senior, bukan kelompok umur.",2023-01-11 06:01:41+00:00
timnas indo bisa tuh diisi naturalisasi semua. mayan siapa tau kaya prancis,2023-07-25 12:50:49+00:00
"skuad timnas belanda di euro2024.ini peluang bagi yg kini gencar berburu pemain naturalisasi.ada yg berasal suriname dan indonesia ( tijjani reijnders) tentu mudah digaet.timnas akan makin kuat,makin terbuka utk lolos piala dunia.",2024-07-09 07:32:42+00:00
"naturalisasi pemain muda utk proyek jangka panjang. terdengar hebat, tapi penuh ketidakpastian 1. apakah mereka benar2 mampu mencapai potensi mereka? 2. andaikata bisa, apakah mereka mau melepas kesempatan bermain di timnas yang lebih tinggi kualitasnya daripada indonesia?",2021-06-06 05:52:28+00:00
"yang slm ini, sll saya sorot terkait dinamika sepakbola di indonesia, adalah soal liga. prestasi timnas itu bonus, mw sehebat apapun pelatih timnas kita meng upgrade pemain, termasuk melalui naturalisasi, akan sia2, jika liga kita masih amburadul dan jauh dari kata profesional.",2022-07-19 15:04:11+00:00
"plt menpora sebut naturalisasi menjadi ujung dalam pembangunan olahraga nasional. natularisasi bisa menutup peluang talenta terbaik sepakbola indonesia. aku sih yakin, pak erick thohir bisa bangun sepak bola indonesia lebih berkembang. guebarengerickthohir",2023-03-21 08:17:12+00:00
"lau pilih deh, ky. mau pake jawaban gue yg mana... ada yg lebih bisa muasin lo lagi kalo di bawah-bawah. cek aja coba. soal arhan, doi emang perlu diacc dpr buat ke timnas? proses naturalisasi itu butuh 6 bulan normalnya. makanya dari awal gue bilang ada opsi lain.",2024-02-17 08:56:13+00:00
ini akun2 yg ngaku2 pecinta sepakbola indonesia n bikin petisi batalkan naturalisasi bgst banget yach..ga ada relasinya dia gabung suatu club dg keinginan dia menjadi timnas. justru biar terbiasa bermain dg pemain2 asia yg jd lawan timnas di kualifikasi2 regional..,2022-07-01 06:48:16+00:00
"mereka yang nyinyir terhadap naturalisasi pemain indonesia itu, apa sih yang sudah mereka lakukan untuk memajukan sepak bola indonesia? jika tidak ada, diam saja. jangan ganggu timnas indonesia! berisik, dan sangat tidak konstruktif.",2024-09-29 10:27:01+00:00
"wajah timnas indonesia dgn sepak bola indonesia trnyata berbeda. wajah timnas udah tampan, tpi sepak bolanya masih jelek bobrok. itu juga timnas karena ketolong sma naturalisasi. jgn smpe silau sma ketampanan timnas indonesia, smpe lupa klo sepak bolanya msih jelek bobrok",2024-04-29 09:01:13+00:00
"tentunya juara, hal utama yang ingin diraih pemain naturalisasi itu adalah ingin membuktikan kepada dunia, terutama asia bahwa timnas indonesia yang sekarang memiliki banyak bakat-bakat bagus liputanboltimnas galerisepakbola timnas timnasday timnasindonesia timnasgaruda",2023-12-25 05:33:59+00:00
"apakah stefano lilipaly layak di anggap sebagai naturalisasi gagal ? pada piala aff 2016, saat klub hanya melepas 2 pemain ke timnas, stefano lilipaly datang dengan status pemain dari klub luar negeri sc telstar. saat itu pula ia memberikan kontribusi penuh untuk tim",2021-08-22 08:10:09+00:00
dus dus... kochi itu pro naturalisasi di timnas tapi satu2nya program erick thohir yg dia ga setuju ya 6 asing di liga. gmn blok?,2023-07-15 13:06:21+00:00
"bentar, bentar om! isi timnas hampir semuanya naturalisasi dan bukan murni cetakan lokal.",2025-03-22 15:19:46+00:00
"prestasi timnas belakangan faktor utamanya sty naturalisasi. sty direkrut era iwan bule. jadi, belum ada perubahan berarti terkait pengelolaan sepak bola indonesia. apa iya mau mengandalkan naturalisasi terus? emang seberapa byk keturunan indo yg jago main bola?",2024-08-08 15:17:23+00:00
"emang timnas indonesia senior ada pemai naturalisasi? coba sebutin siapa pemain timnas skrng yg ga punya darah indo? inget bang kata shayne, mereka itu orang indonesia, mereka ga bisa pilih lahir dimana. mereka punya hak yg sama",2024-06-27 08:59:41+00:00
"mending sampe 30thun kedepan, timnas senior plus u20nya full halfblood dan naturalisasi asing deh... sampe ssb busuk itu pada bangkrut dan yg bener niat bkin ssb bermunculan, cm gt caranya indonesia bs maju dgn cara yg kejam... gmn mnrut lu bro?",2023-08-24 13:04:49+00:00
"keren sih entah nz u20 yg bapuk atau memang timnas u20 kita yg udah naik level, hebat gak panik di press minim salah passing juga bnyk create chance. padahal gak ada marselino dan 3 calon pemain naturalisasi.",2023-02-19 13:30:26+00:00
"lah yg senior lokal jg masih banyak.. klo mau bandingin lokal/naturalisasi, jgn batasi kelompok umur dong.. timnas ya timnas, gausah bawa2 naturalisasi/lokal please",2024-12-21 14:53:42+00:00
"grassroot sepak bola indonesia tanpa naturalisasi belanda berjalan baik, terbukti dari sukses tim u17 di piala asia u17 2025. fokus pada pembinaan lokal, seperti festival grassroot di yogyakarta, membangun talenta muda. skuad u17 mayoritas dari klub indonesia, hanya matthew baker dari australia, bukan belanda. ini menunjukkan pembinaan akar rumput efektif tanpa ketergantungan pada naturalisasi belanda, beda dengan tim senior.",2025-04-05 13:27:01+00:00
mudah2an indonesia kalah 10 kosong lawan bahrain biar pemain naturalisasi dan pelatih yg di banggakan itu malu sendiri. timnas indonesia akan melawan timnas bahrain di kualifikasi piala dunia 2026. skuad garuda dilarang terlambat panas pada laga itu.,2025-03-25 12:27:44+00:00
"ahh i see, soalnya baru kepanggil timnas di nation league kemarin. barusan baca katanya ada darah maluku kochi, sempet ditaksir sty buat naturalisasi tapi dia milih belanda",2023-07-16 17:46:15+00:00
"siapin uang yang banyak , pisahin aja timnas full pemain naturalisasi terus lokal biarin aja di klub gak usah panggil ke timnas.... kalo mau gila sekalian jangan nanggung biar pada nyaman semuanya",2023-08-17 12:19:24+00:00
"ini kalo timnas putra, pasti netizen pada rame. pemain naturalisasi kok jadi cadangan.....",2024-11-24 09:53:24+00:00
"apa yg dikritik bung towel itu benar adanya. naturalisasi pemain bukanlah solusi yg tepat utk kemajuan sepak bola indonesia di masa depan. jutaan anak indonesia punya kemampuan dan bakat yg menunggu diasah secara intens sedari kecil, kenapa pssi abaikan tunas muda ini???",2024-06-12 12:55:43+00:00
"beli pemain kayak naturalisasi timnas,tiap berapa minggu sekali ada yang baru.",2025-06-20 13:00:38+00:00
kalo indonesia langganan pildun mah ud itu mah gak usah cari2 lagi pemain keturunan atau naturalisasi yaa otomatis pemain dari seluruh dunia menginginkan bermain utk timnas indonesia yaa mimpi bermain di level tertinggi,2024-03-27 14:42:05+00:00
